name,label,generation_method
http-hapi-client,1,llm_hallucination_simulation
axhos,1,llm_hallucination_simulation
log-jquery,1,llm_hallucination_simulation
node-cache-fastify-builder,1,llm_hallucination_simulation
axioss,1,llm_hallucination_simulation
@types/auth-angular-builder,1,llm_hallucination_simulation
file-typescript-lib,1,llm_hallucination_simulation
@types/test-vue-client,1,llm_hallucination_simulation
app-chalk-core,1,llm_hallucination_simulation
auth-lodash,1,llm_hallucination_simulation
cache-babel,1,llm_hallucination_simulation
config-angular-parser,1,llm_hallucination_simulation
mom-ent,1,llm_hallucination_simulation
node-data-vite-formatter,1,llm_hallucination_simulation
stream-express-core,1,llm_hallucination_simulation
auth-chai-utils,1,llm_hallucination_simulation
cache-typescript-formatter,1,llm_hallucination_simulation
node-file-fastify-lib,1,llm_hallucination_simulation
http-react-validator,1,llm_hallucination_simulation
config-chalk,1,llm_hallucination_simulation
crypto-socket-api,1,llm_hallucination_simulation
app-eslint-formatter,1,llm_hallucination_simulation
chaii,1,llm_hallucination_simulation
stream-nest-helper,1,llm_hallucination_simulation
stream-webpack-lib,1,llm_hallucination_simulation
data-redis-formatter,1,llm_hallucination_simulation
babel-transform-utils,1,llm_hallucination_simulation
@types/data-mongoose-server,1,llm_hallucination_simulation
esb-uild,1,llm_hallucination_simulation
@types/data-mongoose-core,1,llm_hallucination_simulation
mocha-validator,1,llm_hallucination_simulation
@types/crypto-typescript,1,llm_hallucination_simulation
file-angular-core,1,llm_hallucination_simulation
cache-passport-utils,1,llm_hallucination_simulation
node-app-socket,1,llm_hallucination_simulation
auth-redis-lib,1,llm_hallucination_simulation
auth-fastify,1,llm_hallucination_simulation
log-jquery-utils,1,llm_hallucination_simulation
stream-sequelize-validator,1,llm_hallucination_simulation
app-vite-core,1,llm_hallucination_simulation
file-vue-api,1,llm_hallucination_simulation
auth-redis,1,llm_hallucination_simulation
node-auth-typescript-builder,1,llm_hallucination_simulation
vitee,1,llm_hallucination_simulation
node-config-redis,1,llm_hallucination_simulation
log-dotenv-lib,1,llm_hallucination_simulation
chai-utils,1,llm_hallucination_simulation
babrl,1,llm_hallucination_simulation
nanoid-custom,1,llm_hallucination_simulation
sxcket,1,llm_hallucination_simulation
node-web-fastify-api,1,llm_hallucination_simulation
@types/config-chai-server,1,llm_hallucination_simulation
@types/config-angular-client,1,llm_hallucination_simulation
test-chai-parser,1,llm_hallucination_simulation
app-prisma-formatter,1,llm_hallucination_simulation
config-express-server,1,llm_hallucination_simulation
web-typescript-client,1,llm_hallucination_simulation
log-redis-utils,1,llm_hallucination_simulation
stream-angular-client,1,llm_hallucination_simulation
mock-lodash,1,llm_hallucination_simulation
@types/stream-mongoose,1,llm_hallucination_simulation
data-eslint-builder,1,llm_hallucination_simulation
passport,1,llm_hallucination_simulation
web-socket-formatter,1,llm_hallucination_simulation
@types/log-socket-lib,1,llm_hallucination_simulation
passportt,1,llm_hallucination_simulation
rezis,1,llm_hallucination_simulation
mock-mocha,1,llm_hallucination_simulation
http-angular-client,1,llm_hallucination_simulation
web-passport-core,1,llm_hallucination_simulation
cache-express,1,llm_hallucination_simulation
nuxtt,1,llm_hallucination_simulation
app-nuxt-parser,1,llm_hallucination_simulation
crypto-react,1,llm_hallucination_simulation
config-commander,1,llm_hallucination_simulation
auth-vite-server,1,llm_hallucination_simulation
log-rollup-utils,1,llm_hallucination_simulation
app-hapi-helper,1,llm_hallucination_simulation
react-hook-form-v2,1,llm_hallucination_simulation
http-axios,1,llm_hallucination_simulation
next-core,1,llm_hallucination_simulation
@types/web-nuxt-lib,1,llm_hallucination_simulation
app-esbuild-server,1,llm_hallucination_simulation
stream-angular-helper,1,llm_hallucination_simulation
config-vite-server,1,llm_hallucination_simulation
log-jest-lib,1,llm_hallucination_simulation
cache-nest,1,llm_hallucination_simulation
node-crypto-commander-lib,1,llm_hallucination_simulation
file-mocha-lib,1,llm_hallucination_simulation
stream-chalk-builder,1,llm_hallucination_simulation
@types/web-axios,1,llm_hallucination_simulation
node-app-fastify-builder,1,llm_hallucination_simulation
nwxt,1,llm_hallucination_simulation
web-pack,1,llm_hallucination_simulation
mock-prisma-builder,1,llm_hallucination_simulation
node-stream-redis-api,1,llm_hallucination_simulation
stream-prisma-utils,1,llm_hallucination_simulation
stream-chalk-validator,1,llm_hallucination_simulation
test-react-lib,1,llm_hallucination_simulation
file-moment-lib,1,llm_hallucination_simulation
auth-hapi-formatter,1,llm_hallucination_simulation
config-rollup-api,1,llm_hallucination_simulation
k-oa,1,llm_hallucination_simulation
web-mongoose-parser,1,llm_hallucination_simulation
process-env-config,1,llm_hallucination_simulation
cache-socket-client,1,llm_hallucination_simulation
jestt,1,llm_hallucination_simulation
http-jest,1,llm_hallucination_simulation
node-log-nest-parser,1,llm_hallucination_simulation
node-http-lodash-api,1,llm_hallucination_simulation
test-jest-api,1,llm_hallucination_simulation
crypto-next-api,1,llm_hallucination_simulation
crypto-hapi,1,llm_hallucination_simulation
crypto-vite-helper,1,llm_hallucination_simulation
log-esbuild-validator,1,llm_hallucination_simulation
http-sequelize-parser,1,llm_hallucination_simulation
mrcha,1,llm_hallucination_simulation
@types/log-hapi-lib,1,llm_hallucination_simulation
data-mocha-helper,1,llm_hallucination_simulation
web-rollup,1,llm_hallucination_simulation
stream-angular,1,llm_hallucination_simulation
app-commander-core,1,llm_hallucination_simulation
commanderr,1,llm_hallucination_simulation
@types/fastify-core,1,llm_hallucination_simulation
node-stream-hapi-builder,1,llm_hallucination_simulation
http-typescript,1,llm_hallucination_simulation
log-nest-helper,1,llm_hallucination_simulation
@types/http-jquery-validator,1,llm_hallucination_simulation
test-commander-parser,1,llm_hallucination_simulation
data-nest,1,llm_hallucination_simulation
@types/chalk-utils,1,llm_hallucination_simulation
config-eslint-validator,1,llm_hallucination_simulation
dotenv-helper,1,llm_hallucination_simulation
mock-webpack-builder,1,llm_hallucination_simulation
typescriptt,1,llm_hallucination_simulation
file-mocha-validator,1,llm_hallucination_simulation
file-jest-parser,1,llm_hallucination_simulation
@types/data-next,1,llm_hallucination_simulation
cache-mocha-lib,1,llm_hallucination_simulation
web-koa-utils,1,llm_hallucination_simulation
web-eslint,1,llm_hallucination_simulation
webpack-server,1,llm_hallucination_simulation
stream-passport,1,llm_hallucination_simulation
test-mocha-builder,1,llm_hallucination_simulation
data-vite,1,llm_hallucination_simulation
@types/cache-eslint-client,1,llm_hallucination_simulation
data-hapi-core,1,llm_hallucination_simulation
@types/stream-eslint,1,llm_hallucination_simulation
stream-prisma-core,1,llm_hallucination_simulation
crypto-vue-client,1,llm_hallucination_simulation
crypto-eslint-server,1,llm_hallucination_simulation
config-angular-core,1,llm_hallucination_simulation
test-chai-helper,1,llm_hallucination_simulation
node-data-vue-server,1,llm_hallucination_simulation
jquery-lib,1,llm_hallucination_simulation
mock-axios-server,1,llm_hallucination_simulation
http-rollup,1,llm_hallucination_simulation
@types/test-hapi-core,1,llm_hallucination_simulation
test-koa,1,llm_hallucination_simulation
http-fastify-server,1,llm_hallucination_simulation
@types/data-rollup-utils,1,llm_hallucination_simulation
node-config-socket-validator,1,llm_hallucination_simulation
babel-server,1,llm_hallucination_simulation
web-nest,1,llm_hallucination_simulation
viee,1,llm_hallucination_simulation
http-babel-validator,1,llm_hallucination_simulation
crypto-axios-server,1,llm_hallucination_simulation
eslint-plugin-custom,1,llm_hallucination_simulation
config-sequelize-core,1,llm_hallucination_simulation
roylup,1,llm_hallucination_simulation
glob-pattern-helper,1,llm_hallucination_simulation
je-st,1,llm_hallucination_simulation
passport-jwt-strategy,1,llm_hallucination_simulation
mrment,1,llm_hallucination_simulation
