name,label,downloads,source
loadyaml,1,0,npmjs-mal-pkgs.oct2020.txt
nodetest199,1,0,npmjs-mal-pkgs.oct2020.txt
nodetest1010,1,0,npmjs-mal-pkgs.oct2020.txt
plutov-slack-client,1,0,npmjs-mal-pkgs.oct2020.txt
npmpubman,1,0,npmjs-mal-pkgs.oct2020.txt
lodahs,1,76,npmjs-mal-pkgs.nov2019.with_stats.txt
web3-eht,1,54,npmjs-mal-pkgs.nov2019.with_stats.txt
we3b,1,59,npmjs-mal-pkgs.nov2019.with_stats.txt
wbe3,1,173,npmjs-mal-pkgs.nov2019.with_stats.txt
wallet-address-validtaor,1,23,npmjs-mal-pkgs.nov2019.with_stats.txt
wallet-address-vaildator,1,21,npmjs-mal-pkgs.nov2019.with_stats.txt
singale,1,23,npmjs-mal-pkgs.nov2019.with_stats.txt
signqle,1,23,npmjs-mal-pkgs.nov2019.with_stats.txt
siganle,1,22,npmjs-mal-pkgs.nov2019.with_stats.txt
scrytsy,1,22,npmjs-mal-pkgs.nov2019.with_stats.txt
scryptys,1,22,npmjs-mal-pkgs.nov2019.with_stats.txt
sb58,1,23,npmjs-mal-pkgs.nov2019.with_stats.txt
ripmed160,1,59,npmjs-mal-pkgs.nov2019.with_stats.txt
ripedm160,1,56,npmjs-mal-pkgs.nov2019.with_stats.txt
riped160,1,127,npmjs-mal-pkgs.nov2019.with_stats.txt
rceat,1,134,npmjs-mal-pkgs.nov2019.with_stats.txt
path-to-regxep,1,55,npmjs-mal-pkgs.nov2019.with_stats.txt
hw-trnasport-u2f,1,47,npmjs-mal-pkgs.nov2019.with_stats.txt
hdkye,1,47,npmjs-mal-pkgs.nov2019.with_stats.txt
hdeky,1,47,npmjs-mal-pkgs.nov2019.with_stats.txt
fs-extar,1,97,npmjs-mal-pkgs.nov2019.with_stats.txt
ecuvre,1,49,npmjs-mal-pkgs.nov2019.with_stats.txt
ecruve,1,46,npmjs-mal-pkgs.nov2019.with_stats.txt
dhkey,1,48,npmjs-mal-pkgs.nov2019.with_stats.txt
degbu,1,49,npmjs-mal-pkgs.nov2019.with_stats.txt
cxt,1,48,npmjs-mal-pkgs.nov2019.with_stats.txt
crytpo-js,1,84,npmjs-mal-pkgs.nov2019.with_stats.txt
crpyto-js,1,86,npmjs-mal-pkgs.nov2019.with_stats.txt
conistring,1,47,npmjs-mal-pkgs.nov2019.with_stats.txt
commanedr,1,71,npmjs-mal-pkgs.nov2019.with_stats.txt
commandre,1,73,npmjs-mal-pkgs.nov2019.with_stats.txt
colne,1,85,npmjs-mal-pkgs.nov2019.with_stats.txt
coinstrng,1,51,npmjs-mal-pkgs.nov2019.with_stats.txt
coinstrig,1,48,npmjs-mal-pkgs.nov2019.with_stats.txt
coinstirng,1,48,npmjs-mal-pkgs.nov2019.with_stats.txt
coinpayment,1,50,npmjs-mal-pkgs.nov2019.with_stats.txt
cionstring,1,48,npmjs-mal-pkgs.nov2019.with_stats.txt
bsae-x,1,49,npmjs-mal-pkgs.nov2019.with_stats.txt
bs85check,1,50,npmjs-mal-pkgs.nov2019.with_stats.txt
bs85,1,50,npmjs-mal-pkgs.nov2019.with_stats.txt
bs58chekc,1,48,npmjs-mal-pkgs.nov2019.with_stats.txt
bs58chek,1,49,npmjs-mal-pkgs.nov2019.with_stats.txt
bs58chcek,1,49,npmjs-mal-pkgs.nov2019.with_stats.txt
bpi66,1,49,npmjs-mal-pkgs.nov2019.with_stats.txt
bpi39,1,75,npmjs-mal-pkgs.nov2019.with_stats.txt
bp66,1,49,npmjs-mal-pkgs.nov2019.with_stats.txt
bitcroe-lib,1,81,npmjs-mal-pkgs.nov2019.with_stats.txt
bitconijs-lib,1,83,npmjs-mal-pkgs.nov2019.with_stats.txt
bitconid-rpc,1,79,npmjs-mal-pkgs.nov2019.with_stats.txt
bitconi-ops,1,49,npmjs-mal-pkgs.nov2019.with_stats.txt
bitcoisnj-lib,1,80,npmjs-mal-pkgs.nov2019.with_stats.txt
bitcoin-sweep,1,60,npmjs-mal-pkgs.nov2019.with_stats.txt
bitcoin-osp,1,50,npmjs-mal-pkgs.nov2019.with_stats.txt
bitcoimjs-lib,1,190,npmjs-mal-pkgs.nov2019.with_stats.txt
bitcoimd-rpc,1,51,npmjs-mal-pkgs.nov2019.with_stats.txt
bitcoijns-lib,1,81,npmjs-mal-pkgs.nov2019.with_stats.txt
bitcionjslib,1,89,npmjs-mal-pkgs.nov2019.with_stats.txt
bitcionjs,1,83,npmjs-mal-pkgs.nov2019.with_stats.txt
